  T [K]   P [MPa]  rho [kg/m^3]
 293.150   2.000    999.073
 293.150   4.000    999.982
 293.150   6.000   1000.888
 293.150   8.000   1001.791
 313.150   2.000    993.053
 313.150   4.000    993.924
 313.150   6.000    994.790
 313.150   8.000    995.653
 333.150   2.000    984.037
 333.150   4.000    984.903
 333.150   6.000    985.766
 333.150   8.000    986.625
 353.150   2.000    972.650
 353.150   4.000    973.538
 353.150   6.000    974.422
 353.150   8.000    975.301
 373.150   2.000    959.242
 373.150   4.000    960.172
 373.150   6.000    961.097
 373.150   8.000    962.017
